shRN_AID	GeneSymbol	EntrezID	Pool	shRNA_start	Mean_T14.T0	T14.T0_A	T14.T0_B	Reads_A_T0	Reads_A_T14	Reads_B_T0	Reads_B_T14
Usp22.1429	Usp22	216825	LIB	1429	0.478996919	0.42942241	0.528571429	13262	5695	17290	9139
Usp22.2382	Usp22	216825	LIB	2382	0.111911328	0.109925123	0.113897532	31385	3450	32459	3697
Usp22.2760	Usp22	216825	LIB	2760	0.061983148	0.031042902	0.092923394	8601	267	5822	541
Usp22.3603	Usp22	216825	LIB	3603	NA	NA	NA	1065	1	273	0
Usp27x.1408	Usp27x	54651	LIB	1408	0.122921318	0.012626263	0.233216374	3564	45	4275	997
Usp27x.2829	Usp27x	54651	LIB	2829	0.254051618	0.175833833	0.332269403	25035	4402	24751	8224
Usp27x.2922	Usp27x	54651	LIB	2922	0.319959074	0.472527473	0.167390675	2730	1290	3453	578
Usp27x.3592	Usp27x	54651	LIB	3592	0.29489203	0.052753713	0.537030347	6464	341	5536	2973
Usp27x.3593	Usp27x	54651	LIB	3593	17.22570286	0.2671952	34.18421053	14001	3741	11248	384504
Usp51.737	Usp51	635253	LIB	737	0.908903305	0.390760346	1.427046263	1039	406	562	802
Usp51.1997	Usp51	635253	LIB	1997	0.310486428	0.43330104	0.187671816	53674	23257	51654	9694
Usp51.2109	Usp51	635253	LIB	2109	0.164332887	0.186081505	0.14258427	7975	1484	8900	1269
Usp51.2114	Usp51	635253	LIB	2114	0.038897596	0.009535553	0.06825964	12165	116	13434	917
Usp51.2194	Usp51	635253	LIB	2194	0.931503481	0.196846112	1.66616085	3678	724	1318	2196
Utx.652	Utx	22289	LIB	652	4.641855236	4.328129783	4.95558069	13068	56560	19451	96391
Utx.888	Utx	22289	LIB	888	1.075866425	1.751019313	0.400713536	18640	32639	23825	9547
Utx.1445	Utx	22289	LIB	1445	1.5705291	1.884518877	1.256539322	17137	32295	23244	29207
Utx.4317	Utx	22289	LIB	4317	1.736188537	3.037108334	0.43526874	33766	102551	27815	12107
Utx.4510	Utx	22289	LIB	4510	2.286589128	3.113532021	1.459646236	12851	40012	12155	17742
Wbp7.2972	Wbp7	75410	LIB	2972	1.513599735	2.458444271	0.568755198	24413	60018	36070	20515
Wbp7.3029	Wbp7	75410	LIB	3029	0.035307517	0	0.070615034	8164	0	11414	806
Wbp7.5587	Wbp7	75410	LIB	5587	0	0	0	1840	0	2933	0
Wbp7.6965	Wbp7	75410	LIB	6965	0	0	0	2142	0	1208	0
Wdr5.501	Wdr5	140858	LIB	501	2.408515669	4.387538327	0.429493011	9132	40067	12091	5193
Wdr5.502	Wdr5	140858	LIB	502	0.042069153	0.061053985	0.023084322	7780	475	6238	144
Wdr5.1321	Wdr5	140858	LIB	1321	0.247222355	0.260246645	0.234198065	33084	8610	29142	6825
Wdr5.1765	Wdr5	140858	LIB	1765	0	0	0	15206	0	11812	0
Wdr5.2837	Wdr5	140858	LIB	2837	0.077594328	0.146670387	0.008518269	10752	1577	8922	76
Wdr82.1889	Wdr82	77305	LIB	1889	18.17214402	17.05537669	19.28891135	9318	158922	6926	133595
Wdr82.3590	Wdr82	77305	LIB	3590	0.540832199	0.657836623	0.423827774	102793	67621	100194	42465
Wdr82.3705	Wdr82	77305	LIB	3705	0.175116794	0.093333854	0.256899734	25607	2390	22211	5706
Wdr82.4023	Wdr82	77305	LIB	4023	0.723659143	1.142793941	0.304524346	47467	54245	35961	10951
Whsc1.812	Whsc1	107823	LIB	812	0.904200829	1.579513299	0.228888359	5301	8373	8384	1919
Whsc1.818	Whsc1	107823	LIB	818	0.470434488	0.340148963	0.600720013	21079	7170	18333	11013
Whsc1.3055	Whsc1	107823	LIB	3055	0.121372859	0.0001485	0.242597217	20202	3	16818	4080
Whsc1.3056	Whsc1	107823	LIB	3056	0.209818088	0.240167026	0.179469151	14848	3566	17067	3063
Whsc1l1.276	Whsc1l1	234135	LIB	276	0.003690779	0.001781142	0.005600417	8983	16	15356	86
Whsc1l1.373	Whsc1l1	234135	LIB	373	0.000537019	4.10931e-05	0.001032946	24335	1	18394	19
Whsc1l1.524	Whsc1l1	234135	LIB	524	1.108399963	1.304866171	0.911933755	25667	33492	20530	18722
Whsc1l1.1307	Whsc1l1	234135	LIB	1307	0.11091394	0.105350477	0.116477403	36165	3810	43502	5067
Whsc1l1.1653	Whsc1l1	234135	LIB	1653	0	0	0	1740	0	2619	0
Wnt5a.2013	Wnt5a	22418	LIB	2013	0.364395259	0.140090029	0.588700489	14662	2054	14921	8784
Wnt5a.2659	Wnt5a	22418	LIB	2659	0.746392031	0.784340702	0.708443359	31981	25084	30296	21463
Wnt5a.2764	Wnt5a	22418	LIB	2764	0.057297605	0.114595211	0	3508	402	4188	0
Wnt5a.4154	Wnt5a	22418	LIB	4154	1.074939471	1.697942922	0.45193602	24598	41766	25258	11415
